epoch,total_loss,task_loss,distill_loss,intermediate_loss,val_psnr,lr,alpha,beta
128,0.009875766485929489,0.01263836856931448,0.0024585894588381053,0.2327287471294403,38.094636540285634,0.0001,0.5,0.01
129,0.009716081013903023,0.012493824157863855,0.0023180544539354742,0.23101417630910873,38.103997909738155,0.0001,0.5,0.01
130,0.009996511349454522,0.012899270504713059,0.002415983893442899,0.23388842672109603,38.107368865392495,0.0001,0.5,0.01
131,0.010161791751161218,0.013075320459902286,0.002577121902722865,0.2335570564866066,38.10896492187112,0.0001,0.5,0.01
132,0.010081640146672725,0.012838878985494375,0.0025442932918667794,0.23900541096925734,38.11836703583744,0.0001,0.5,0.01
133,0.00967350727878511,0.012398327626287937,0.002375502947252244,0.2286592021584511,38.09984431657965,0.0001,0.5,0.01
134,0.009983140332624317,0.012784553514793516,0.0025005800533108415,0.23405735969543456,38.104393821402624,0.0001,0.5,0.01
135,0.009761136528104543,0.012563241925090552,0.002405145198572427,0.2276943013072014,38.102881259344585,0.0001,0.5,0.01
136,0.009718645308166742,0.01260502427816391,0.0022781983180902897,0.22770340114831925,38.10814161672226,0.0001,0.5,0.01
137,0.010139210671186448,0.013160714898258447,0.0025383452023379507,0.2289680728316307,38.100703790504134,0.0001,0.5,0.01
138,0.0096093712374568,0.01237819048576057,0.002285031293286011,0.22777603685855866,38.09507599681226,0.0001,0.5,0.01
139,0.010062169693410396,0.013042298527434468,0.0024760055937804283,0.23030176639556885,38.1018112061163,0.0001,0.5,0.01
140,0.00983670113608241,0.012735979780554772,0.002368087782524526,0.22846673429012299,38.11876120851428,0.0001,0.5,0.01
141,0.010073650628328323,0.01312423476949334,0.00242503966903314,0.22990134000778198,38.09490816869847,0.0001,0.5,0.01
142,0.010007416410371662,0.013000333961099387,0.002442128304392099,0.22861853301525115,38.10162788926386,0.0001,0.5,0.01
143,0.009835733063519002,0.01263290585950017,0.0024239384406246245,0.2307310938835144,38.11594165676913,0.0001,0.5,0.01
144,0.009680229844525457,0.01250359246507287,0.002316486514173448,0.2270190465450287,38.09003642659205,0.0001,0.5,0.01
145,0.00989192576147616,0.012806444587185979,0.0024124896852299573,0.2282458660006523,38.10252686713161,0.0001,0.5,0.01
146,0.010428430754691362,0.013467995878309012,0.0026674926152918488,0.23606866627931594,38.07187217766398,0.0001,0.5,0.01
147,0.010102668199688197,0.01310304606333375,0.002505005863495171,0.22986424416303636,38.101297978329676,0.0001,0.5,0.01
148,0.009806952066719532,0.012712846407666803,0.0023325870558619497,0.22842353343963623,38.11292826354115,0.0001,0.5,0.01
149,0.01002365012653172,0.012842915607616306,0.0025783761125057936,0.23130042731761932,38.091497692832824,0.0001,0.5,0.01
150,0.00989529861137271,0.012702300027012826,0.002449284503236413,0.23195064187049866,38.10872908959269,0.0001,0.5,0.01
151,0.010104958396404982,0.013126453766599298,0.002507517673075199,0.22879727065563202,38.05023067140733,0.0001,0.5,0.01
152,0.009653174802660942,0.012212900929152965,0.0024144213180989026,0.23395137190818788,38.09692793128366,0.0001,0.5,0.01
153,0.009767278246581555,0.012563459342345595,0.002359834983944893,0.23056311339139937,38.08299566780985,0.0001,0.5,0.01
154,0.009795574620366097,0.012724168244749307,0.0023393298615701497,0.2263825663924217,38.12230083627787,0.0001,0.5,0.01
155,0.009834134001284838,0.01263578062877059,0.0024769374739844353,0.22777751207351685,38.07482577495526,0.0001,0.5,0.01
156,0.009973725592717529,0.012920295055955648,0.0024404649273492398,0.22933455407619477,38.11762246556319,0.0001,0.5,0.01
157,0.010242857644334436,0.013310540830716491,0.002539195178542286,0.23179896891117097,38.09988331516204,0.0001,0.5,0.01
158,0.009825153890997172,0.012593142818659545,0.002432276417966932,0.23124443709850312,38.10437538744934,0.0001,0.5,0.01
159,0.0097231659386307,0.012597630601376295,0.0023552509630098938,0.22467251747846603,38.10153305596209,0.0001,0.5,0.01
160,0.009751824727281928,0.012616505827754736,0.0023533109365962445,0.22669164061546326,38.124872463513825,0.0001,0.5,0.01
161,0.009987290538847447,0.01298843982629478,0.0024646644061431288,0.22607384562492372,38.093027733861376,0.0001,0.5,0.01
162,0.009969553574919701,0.01285342494957149,0.0024350657232571392,0.2325308272242546,38.07111906492652,0.0001,0.5,0.01
163,0.009809349346905947,0.012704540770500898,0.002406250920612365,0.22539535105228425,38.102479815874915,0.0001,0.5,0.01
164,0.009589868765324354,0.012268525063991547,0.002357445884263143,0.22768833935260774,38.08675677282973,0.0001,0.5,0.01
165,0.009946261942386627,0.012788089299574494,0.0024630624614655973,0.23206860363483428,38.11852423223861,0.0001,0.5,0.01
166,0.009896266022697092,0.012726516798138618,0.0025025410926900805,0.2281737059354782,38.103709793241265,0.0001,0.5,0.01
167,0.009855262469500303,0.012627429701387883,0.0024235820630565284,0.23297565877437593,38.08278351598418,0.0001,0.5,0.01
168,0.009642187356948852,0.01248293235898018,0.0023164808889850974,0.22424808382987976,38.09756768622468,0.0001,0.5,0.01
169,0.009893237380310893,0.012793279401957989,0.0024455094942823054,0.22738429844379426,38.110498185625474,0.0001,0.5,0.01
170,0.010342468665912747,0.013535845912992955,0.0025770284165628253,0.22860315293073655,38.10545050438275,0.0001,0.5,0.01
171,0.00996009006164968,0.012936835903674363,0.0024659920867998153,0.2258676129579544,38.09542258432225,0.0001,0.5,0.01
172,0.009777723588049412,0.012709503909572959,0.0023579221684485673,0.22440106242895128,38.09751917570763,0.0001,0.5,0.01
173,0.009746519438922406,0.012723789475858211,0.0023093936918303372,0.22299278140068055,38.097141910934035,0.0001,0.5,0.01
174,0.01001713185571134,0.013189606368541718,0.00235725577455014,0.22437008291482927,38.095431791888494,0.0001,0.5,0.01
175,0.009835357060655952,0.012851262409240007,0.0023566102632321417,0.22314208805561064,38.073327717133466,0.0001,0.5,0.01
176,0.009747212156653404,0.012659482602030038,0.0023193262098357083,0.22578077793121337,38.09313500065774,0.0001,0.5,0.01
177,0.009772667055949568,0.01263645052909851,0.002392539940774441,0.22581718146800994,38.110466726451364,0.0001,0.5,0.01
178,0.010185488294810056,0.013193525839596987,0.002530168630182743,0.23236411571502685,38.07776354253717,0.0001,0.5,0.01
179,0.009795733271166682,0.012780240587890148,0.0023250869358889758,0.224306942820549,38.10076505964995,0.0001,0.5,0.01
180,0.009863485200330615,0.012876469260081649,0.002380808185553178,0.2234846493601799,38.12921804299318,0.0001,0.5,0.01
181,0.009581761872395874,0.012421146016567946,0.0023250875691883267,0.2208645099401474,38.10967136263763,0.0001,0.5,0.01
182,0.010373552655801177,0.013505996642634273,0.0025825365795753897,0.23292861253023148,38.07355834273717,0.0001,0.5,0.01
183,0.010018958570435643,0.013177380040287972,0.002424066930543631,0.2218235158920288,38.09289818546321,0.0001,0.5,0.01
184,0.01001767453737557,0.0131513312458992,0.002427200728561729,0.22284086376428605,38.0912411262175,0.0001,0.5,0.01
